时间戳记	省份	城市	区县	学校名称	年级	每周在校学习小时数	每月假期天数	寒假放假天数	24年学生自杀数	上学时间	放学时间 含晚自习	寒假补课收费总价格	学生的评论
2025-2-2 上午03:41:58	陕西	西安市	高新区	西安高新第一中学	11		4	10	有				
2025-2-2 下午06:24:49	上海	上海市	闵行区	上海骏博外国语学校	8	30	3	28	0	上午07:20:00	下午08:40:00	0	学校挺好的
2025-2-3 下午04:02:20	上海	上海市	黄浦区	第一中学	11	30	3	14	0（原数据100，因过于离谱被审查）	上午06:00:00	下午11:00:00	1000	垃圾学校补课sb
2025-2-3 上午05:34:54	四川	泸州市	江阳区	泸州高级中学校	12	100	3	12	0	上午07:10:00	上午10:00:00	0	差
2025-2-3 下午09:08:04	四川	达州市	通川区	达州市高级中学	10	90	4	7	0	上午06:30:00	下午11:00:00	4400	
2025-2-2 下午12:33:47	四川	成都市	彭州市	四川省彭州中学	12	144	4	14	1	上午07:10:00	上午10:20:00	0	这又是一所典型的效仿衡水模式的县中：削减学生休息时间，人为加重学生学业压力，对学生中可能存在的心理问题视而不见，虽然目前还尚未听说学生自杀案例，但可以确信的是，如果此校继续这种办学方式甚至变本加厉，学生自杀几乎不可能不发生。
2025-2-3 上午11:52:07	四川	南充市	顺庆区	南充五中高新校区	7	100	6	30	1	上午07:40:00	下午08:30:00	0	这个垃圾学校以前叫潆溪职高，去年开始搞什么凉水井课改后改名成南充五中高新校区，哄骗家长在课改后学生可以自主学习，学习成绩可以提高。结果折腾了一个学期，学生成绩没半点进步，班主任还继续PUA家长，真的应该远离这种打着课改的垃圾学校
2025-2-3 下午05:44:07	四川	成都市	天府新区	四川天府新区华阳中学	11	79	6	30	1	上午07:10:00	下午10:00:00	0	中考报名四川天府新区华阳中学，上学却在香山中学..老师很多都是大学生，老师也不是华阳中学的。高一建校一两个学期老师甚至不知道上的是什么学校。变相强制报名研学——不报名必须上五天自习，请假一天以上必须二甲医院住院证明！部分班主任早上九十点找不到人，打电话还没来上班。老师不备课，上新课念PPT，新课一节课十多分钟自习！  凭什么中考报名华阳中学，老师却是香山中学招的毕业生，上学在香山中学？？重点线上分考进来上了个普高，两个学校报名进来的学生混在一起用一群老师教，教师也是香山华阳混杂一起。  请假一天以上必须二甲医院住院证明，陈勇梅你妈死了也不准请假去火化😁  趁学生休息，未经允许把学生辛苦一学期做的作品展拆了，扔了，改成招商奶茶铺做预制菜卖给学生。
2025-2-3 下午02:00:37	四川	成都市	彭州市	四川省彭州中学	12	144	4	12	3	下午07:10:00	下午10:20:00	0	作为一个区县学校，这所学校十多二十年前还出过两个数学奥林匹克竞赛金牌奖的选手，也不时会培养出上清北的学生，但是现在路越走越窄，校领导的学历水平越来越低，有的是二本院校，有的还是从偏僻农村学校莫名其妙提拔上来，毫无从良治学经验可谈；此外，据学弟学妹所说，现在食堂中屡屡出现预制菜，有的菜品直接盛放在劣质塑料中拿给学生。
2025-2-3 上午05:43:03	四川	绵阳市	涪城区	绵阳中学实验学校	11	88	2	9	3	上午06:30:00	下午10:50:00	0	死人学校，绵中弃婴，逆天领导与逆天生源，简称鸟不拉屎之地，绵石牛！
2025-2-2 上午06:04:42	四川	成都市	成华区	成都市第49中学	11	104	1	5	有				
2025-2-2 上午06:44:44	四川	泸州市江阳区		四川省泸州高级中学校	12	96	2	11	有				
2025-2-3 下午12:56:36	天津	天津市	武清区	杨村第一中学	12	105	2	26	0	上午06:50:00	下午09:50:00	0	联排周连着上两周才放假而且周日要返校，周五放的很晚学校还不管饭，各种节假日都放不满，每天作业超级多，学校各种活动也不允许高三参加
2025-2-3 下午01:32:21	天津	天津市	和平区	天津市建华中学	8	66	4	14	0	上午07:20:00	下午08:30:00	3400	
2025-2-3 下午01:47:20	天津	天津市	南开区	天津市南开中学	11	90	3	9	0	上午07:00:00	下午10:30:00	2000	
2025-2-3 下午07:16:51	天津	天津市	武清区	杨村第四中学	12	70	8	26	0	上午06:30:00	下午09:30:00	0	几年前的毕业生 ，曾经上晚自习收费后来取消收费了 。校服质量次，每人还必须买两套且不能私自改裤腿 被发现后会被停课整改。午饭和晚饭强制在学校吃遇到老师拖堂去晚了就没有菜了，饭后只能趴桌子上午休一小时，高考前一段时间醒来后还要背诵12字的核心价值观。
2025-2-4 上午02:02:59	天津	天津市	静海区	静海区第六中学	11	112	2	7	0	上午05:50:00	上午10:50:00	0	静海区所有的中学强制性课间跑操，模仿衡水中学模式，拿个小本，读出声音，每个月放2天假期要回去拿钱交饭费。而且还要查仪容仪表，男生不能超过2cm，女生头发不能遮住耳朵，不能盖住眉毛，不能留长发。
2025-2-3 下午08:27:59	西藏	拉萨	城中区	拉萨第一中学	10	80	4	10	10	上午07:00:00	下午08:00:00	100000	拉萨学校里什么课都有，就是没有我们藏文课，学习学的差的还要被拉出教室打，我们班主任是河南来的，以前是驻藏部队的，现在他不上课，天天抓我们的思想课教育，每周有16节思想课
2025-2-4 上午12:44:17	新疆	乌鲁木齐市	乌鲁木齐市	新疆生产建设兵团第二中学	9	80	0	0	0	上午08:00:00	下午10:00:00	30000	兵团第二中学教师齐敏，徇私枉法，公开打压学生，无视学生尊严，收取贿赂并且要求学生家长办事，强制学生收费补课。在学校利用教师职务大发横财。恶意pua学生和学生家长。这种垃圾教师枉为人师误人子弟。
2025-2-4 上午02:41:42	新疆	喀什	岳普湖县	岳普湖县高级中学	12	45	8	40	0	上午07:30:00	上午06:15:00	1500	保护我的隐私 在新疆翻墙被抓会去一个幸福的安身之处 这里不准汉族学生说汉语  不准汉族学生聚餐  年级管理专门抓“汉族小团体” 就是几个汉族学生聚在一起不和ug说话  要求每个汉族学生都必须跟ug说多少话  不让汉族一起回家 ug老师“统一带队回家” 有汉族学生去了幸福安身处 半年才回来  还有ug强奸汉族学生 在操场上扒光衣服 汉族学生下体照片被传播 
2025-2-3 上午03:55:18	新疆	石河子市	高新區	石河子第十三中學	9	100	0	35	1	上午07:30:00	下午11:25:00	0	
2025-2-4 上午01:43:39	新疆	伊宁市	伊宁市	伊宁市第三中学	12	130	4	8	2	上午08:00:00	上午12:30:00	0	最近有个好同学跳楼自杀了😭😭😭😭😭 我真的好压抑 社会好恐怖
2025-2-3 上午11:50:21	云南	楚雄市	鹿城镇	楚雄师院附中	12	100	2	11	0	上午06:50:00	下午11:30:00	0	比监狱严重得多
2025-2-3 上午02:55:26	云南	普洱市	思茅区	思茅一中	12	101	2.5	7	0	上午07:00:00	下午11:30:00	0	
2025-2-4 上午02:27:01	云南	昆明	盘龙区	昆明市第10中学	7	60	4	18	0	上午07:30:00	上午12:00:00	0	学校pua“差生”要求他们转学。老师还在学生见发动文革式的举报制度无记名投票和批斗会。该学著名“人师”俞泰红20多年前就以其的狠毒教学模式闻名云南（对学生和家长都狠，骂过副省市领导）（https://baike.baidu.com/item/%E4%BF%9E%E6%B3%B0%E7%BA%A2/12715715）
2025-2-3 下午03:19:40	云南	红河哈尼族彝族自治州	开远市	开远市第一中学	11	106	2	14	1	上午06:23:00	下午11:00:00	0	
2025-2-3 下午10:44:44	云南	弥勒市	弥勒市弥阳街道	弥勒市第一中学	9	110	0.5	14	2	上午06:30:00	下午11:30:00	1000	希望大家关注我们！一个偏远地区四线小城市高中生的呐喊！
2025-2-3 下午10:50:33	云南	建水县	建水县	建水实验中学	12	112	0	14	3	上午06:00:00	下午11:30:00	2000	老子要把学校炸了
2025-2-2 下午03:10:26	浙江	金华市	兰溪市	兰溪市第一中学	12	112	2	3	0	下午05:00:00	上午09:50:00	0	
2025-2-2 下午04:31:03	浙江	丽水市	龙泉市区	龙泉中学	11	88	5	14	0	上午06:30:00	下午09:40:00	0	
2025-2-2 下午12:27:18	浙江	宁波市	镇海区	宁波市镇海中学	12	90	3	11	0	上午06:55:00	下午09:30:00	0	
2025-2-3 下午03:33:24	浙江	宁波市	鄞州区	宁波外国语学校	12	80	4	13	0	上午06:30:00	下午09:30:00	0	
2025-2-2 下午02:48:42	浙江	衢州市	柯城区	浙江省衢州第一中学	12	95	4	13	0	上午06:40:00	下午10:00:00	0	新任书记上台乱搞大改革，推出晨间晚间半强制性跑步，不顾生源质量推行“高效课堂”改革。但政府拨款使学生生活学习条件确实有所提升。
2025-2-3 上午02:14:12	浙江	绍兴市	诸暨市	海亮高级中学	10	90	4	6	0	上午07:20:00	下午09:50:00	0	学校教务处和政教处的领导宫斗特别凶，作为一个私立学校并坚持从外部好高中挖优秀教师的典型，却存在大量老师被宫走（针对性安排连续的监考的不合理的课表，比如早上最早再加晚自习的考试，用奇葩考核包括招生和自习抽查），剩下一些就是完全不尊重学生心理健康和道德的领导走狗。整天想着搞自己的小团体。我英语老师之前是行政处主任，之前去她办公室听写的时候发现这批不教书只搞行政，一周能安排两次集体考试，上任后把食堂搞得涨价且难吃的虫豸们居然有两万多的工资..
2025-2-2 下午03:45:41	浙江	温州市	苍南县	苍南县灵溪中学	12	96	2	12	0	上午06:30:00	下午10:40:00	3000	
2025-2-2 下午12:00:24	浙江	温州市	瑞安市	瑞安市上海新纪元高级中学	11	89.25	2	15	0	上午06:35:00	下午10:00:00	3000	补课强制参加，补课教新课
2025-2-3 下午12:17:51	浙江	温州市	瓯海区	温州市第二外国语学校	12	93	4	11	0	上午06:50:00	下午10:00:00	0	高三段的段长及其恶心
2025-2-3 下午03:22:29	浙江	温州市	平阳县	平阳县新城中学	11	105	3	17	0	上午06:35:00	上午09:40:00	700	晚自习不允许上厕所；不允许点外卖或者将快递送到学校；美其名曰学生代表大会但是真正从学生中收集的意见从未或者很少被通过实行，开设校长信箱但有关学校制度的意见从未被落实，递交的意见只有符合领导价值观和教学理念才能被通过；在校住宿两周放一次假，两周之间的周末强制性补课，周六上课周日考试，分座位，由老师出卷，再排名。我曾经提交了反对这一制度的意见书同时也表达了对学校所谓的民主制度的意见但是却被段长在晨会上以这个制度能让我们成绩提升为主要理由反驳，在反驳我对学校的民主制度的意见时则是以美国的公司的规章制度难道是由员工共同制定的吗等来反驳；放假少，浙江高考首考时我们学校的老师会去监考影响正常的排课但是学校却从未让我们放假，假期调整是由学校领导层开会决定。而高二针对学生的规章制度是由高二行政会（校领导和几位德高望重的老师）决定，但是年段长觉得麻烦直接跳过行政会讨论将通知直接发到班主任群，其他领导和老师也不好意思说；段长权力集中，同时性格古板不通人情，经典言论有规则就是规则制度就是制度，规则就是强权的不由分说的等；学校有教师食堂与学生食堂，凡是去教师食堂打菜的学生都会被处罚，学校后勤阿姨劳工待遇差，每天凌晨四点起床工作一天工资只有一百多；我们班有个男生喜欢二次元将二次元人物照片带到学校被段长没收并且批评他价值观不正，段长曾经还没收过同学的nba特刊，小说漫画作为明确规定的违禁品只能像老鼠一样偷偷看；虽是公里学校但仍然会强制补课延迟放假；学校规模很小，作为高中用的是一所初中的校区操场只有200米；总体大小和一个400米操场差不多大其他学校都有美术课音乐课而我们没有只有主课；限时打电话同时电话机只有固定时段开通
2025-2-3 下午05:00:22	浙江	杭州市	萧山区	浙江省萧山中学	11	85	5	21	0	上午06:25:00	下午09:50:00	0	前几年不是这样的(据学长所说)，近几年疯狂走下坡路，名声大于实力
2025-2-3 下午05:34:41	浙江	丽水市	缙云县	浙江省缙云中学	12	97	2	7	0	上午06:30:00	下午10:30:00	0	
2025-2-3 下午06:31:33	浙江	宁波市	鄞州区	鄞州第二实验中学（原蓝青学校）	8	90	4	15	0	上午06:00:00	下午09:00:00	0	草泥马王勇 学校周末变相强制考试 
2025-2-3 下午07:54:14	浙江	台州市	玉环县	玉环市坎门中学(高中)	12	90	4	13	0	上午07:00:00	上午09:45:00	0	
2025-2-4 上午01:55:34	浙江	温州市	乐清市（县级市）	乐清市精益中学	12	112	2.5	15	0	上午06:10:00	下午10:20:00	0	沙币学校要求我们6.20到操场，人迷糊迷糊的就要跑操，如果是星期一的话还要到8.20升国旗，一系列操作搞的学生上课犯困下课睡觉，效率低下，后来换了个领导，所有政策重新安排，又搞了个午练，晚练（为了避免中午晚上食堂拥挤以及测试学生上课成果而特别设置）高三学生本来就没什么时间吃早餐，到大课间本来可以吃早餐，后来大课间被放在了8.20的跑操后，时间也从原来的30分钟缩短到20分钟不到，再加上脑残的文科老师，天天搞默写（例如：语文文言文古诗词等等，数学公式，英语单词，句子），使的语文，英语基础差的学生经常要花整个课间时间去默写，否则周末要被留到晚上才能回家。一系列操作导致学生又饿又困
2025-2-3 下午12:17:55	浙江	杭州市	富阳区	浙江省富阳中学	12	66	4	11	1	上午06:30:00	下午10:30:00	0	体制不改革，教育不过是工具
2025-2-3 下午03:32:38	浙江	杭州市	拱墅区	浙江省杭州第十四中学康桥校区	11	91	4	17	1	上午06:50:00	下午10:20:00	0	
2025-2-3 上午12:03:28	浙江	丽水市	庆元县	浙江省庆元中学	12	104	4	7	1	上午06:35:00	上午10:10:00	0	
2025-2-2 下午02:31:34	浙江	台州市	路桥区	北大台州飞龙湖	7	38	1	22	1	上午08:00:00	下午08:40:00	0	比较累
2025-2-3 下午07:25:46	浙江	温州市	龙港市	龙港中学	12	91	2	7	1	上午06:30:00	下午10:00:00	0	已经毕业很久了，不知道有没有什么变化。听说出了个清华。哈哈，那又如何呢，你觉得是你教的好吗？小县城重高的丑态，没有衡水的命有衡水的病，一个清华的下面是多少被压力逼到选择自我堕落甚至自我了断的学生。阴阳怪气、杀鸡儆猴和公开处刑是常态，学生跳楼被轻描淡写地挂在嘴边是常态，一切为了重点率，眼里只有重点率，学生在他们眼里不是人，是学校往上走的工具。你猜为什么有人翻墙逃出去，你猜为什么有人会跳楼，你再猜为什么空教室里的抽屉会有啤酒瓶？学生会的放纵你放任，普通学生因为在每周一次甚至好几次的周测里错了一道简单的题目就要揪出来用电子处刑板公开阴阳怪气。宿舍军事化管理，动辄占用休息时间体罚是常事，强制住宿，走读必须要三甲医院证明；面子永远大于实干，学校大门进来的几排树是种了又种换了又换；得意洋洋宣告着学校内天眼的布置，那副样子活像高高在上的土皇帝；普通班和重点班隔着一道人和狗之间的隔阂，重点班和创新班之间又隔着一道狗和人的隔阂。三年的痛苦，我花了更多的时间也没能治愈。我不知道我还要花多久。
2025-2-3 下午11:40:03	浙江	温州市	龙港市	浙江省龙港中学	11	92	4	16	1	上午06:50:00	下午09:50:00	0	
2025-2-4 上午02:08:44	浙江	台州市	路桥区	北大附中台州飞龙湖学校	7	40	6	22	1	上午08:00:00	上午08:40:00	0	有一天领导来视察，结果原本8:40的放学时间，要让我们说成五点放学。领导只不过是走过场而已。还要铺红地毯，如果问学校好不好还必须要说好，不说好就会被处罚。还特别强调集体荣誉感，密名评价老师还要登录自己账号，而且班主任说全部都要评最高分。
2025-2-2 下午12:15:54	浙江	杭州市	西湖区	杭州学军中学	10	96	4	5	3	上午07:00:00	下午10:30:00	3000	
2025-2-3 上午02:10:14	浙江	金华市	浦江县	浦江中学	11	105	5	7	3	上午06:30:00	下午10:30:00	1500	
2025-2-4 上午02:23:29	浙江	温州	乐清	乐清市知临中学	10	168	4	15	4	下午04:00:00	上午10:30:00	2000	
2025-2-2 上午03:54:42	浙江	杭州市	下城区	杭州第十四中学	12		4	12	未知				
2025-2-4 上午03:38:34	辽宁	本溪市	明山区	本溪市第二高级中学消防校区	12	108	2	15	0	上午06:30:00	下午10:30:00	2000	
2025-2-4 上午03:40:10	安徽	安庆市	桐城市	安徽省桐城中学	12	84	2	13	0	上午06:50:00	下午10:20:00	0	
2025-2-4 上午03:42:28	辽宁	大连市	金州区	大连海滨美术高级中学	11	96	3	7	0	上午06:30:00	下午09:50:00	13000	
2025-2-4 上午03:43:11	贵州	贵阳市	南明区	贵州省实验中学	11	90	4	27	0	上午06:30:00	下午10:10:00	0	
2025-2-4 上午03:49:41	湖北	武汉市	江岸区	武汉六中	12	82	2	7	2	下午02:00:00	下午09:40:00	0	
2025-2-4 上午03:53:18	四川	成都市	青羊区	成都市树德中学	12	90	4	28	0	上午07:00:00	下午10:10:00	0	
2025-2-4 上午03:55:00	福建	龙岩市	长汀县	长汀县第一中学分校	12	90	2	15	4	上午06:20:00	上午10:00:00	0	
2025-2-4 上午03:59:16	广东	深圳市	龙岗区	深圳科学高中龙岗分校	12	78	4	11	3	上午06:50:00	下午10:30:00	0	
2025-2-4 上午04:03:09	安徽	宿州市	灵璧县	灵璧县灵璧一中	11	91	3.5	20	1	上午06:20:00	上午10:30:00	0	
2025-2-4 上午04:05:21	湖南	娄底市	双峰县	双峰县曾国藩学校	12	112	1.5	14	0	上午06:30:00	下午10:30:00	0	作为一名复读班学生亲眼所见高一高二学生全程军事化管理，本人也被迫在学校趴桌午休，补课范围费用已包含在学费内，除衡水模式外暂未遇到教室或领导暴行
2025-2-4 上午04:06:33	广西	北海市	海城区	北海市第七中学	11	77	3	17	0	上午07:00:00	下午10:40:00	0	七中是北海市唯一一个有午自习的学校，也是下晚自习最晚的学校，每节课都会有老师巡堂，只要干些无关学习的事就会被记并公开处刑，这些做的都是无用功，做这些不过是加大学生们的压力，这么多年了成绩还是比不上那些学习时常比我们少的学校
2025-2-4 上午04:09:46	广西	来宾市	市辖区	柳州地区民族高级中学	10	112	1	21	2	上午06:15:00	下午10:20:00	0	
2025-2-4 上午04:09:57	云南	丽江市	古城区	丽江润泽高级中学	10	112	2.5	29	0	上午06:15:00	上午10:40:00	0	40多天放一次假😷不愧是建水实验中学分校哈。。。
2025-2-4 上午04:11:30	河南	许昌市	长葛市	长葛市第一高级中学	12	112	0	0	0	上午05:40:00	上午09:50:00	0	法定假日看上去像是放假，实际给学生按照不可能完成的标准留了任务，实际等于没有放假，每个年级不同，高三甚至有些老师还会主动加码，像是寒假这种假期，学校会时刻监视全平台，发现有任何人评论直接通知全校的班主任调查是谁发的，拒绝一切话题出现。还会出现大晚上通知第二天自愿开学上课的情况。平时并不放假，相当于每月0天（两周一次周末，但是这个周末第一天下午上完课回家，学生收拾物品回家，吃完饭，第二天就要回学校，还要完成海量任务，这个假期说是0天都算赞美了，就是瞎折腾一通当成过周末）。周日要看新闻联播，某些班主任还会借着这个事情指点江山，那些“我来考考你”这种味的不想多说了，特别需要指出的是发表自己的恶臭看法，如仇恨言论、极端民族主义言论、崇尚战争的言论。
2025-2-4 上午04:13:55	福建	龙岩市	新罗区	龙岩一中锦山学校	11	100	4	15	0	上午06:40:00	下午10:00:00	1000	我们不希望被说成勾结境外势力，我们只想有一个美好的青春年华。
2025-2-4 上午04:20:50	陕西	西安市	浐灞国际港（未央区）	陕西师范大学西安市浐灞教育集团启源校区	9	80	4	10	0	上午07:00:00	下午08:50:00	324	1.9年级早训，学生每天早上跑6km，身体无法承受，学习时精力无法集中，累得要死。 2.中午午餐费18元，大锅饭，经常吃出头发、虫子、铁丝。 3.学校领导是畜生，寒假补课被教育局查出来后暂停，又突然恢复补课，学生已经回老家过年，不得不返回学校上课。学校打着家委组织补课的旗号，看似自愿，实则强制。西安市教育局也是畜生，假惺惺的来查演给谁看，不干人事。 4.老师课后服务和晚自习时间都在讲题，学生没有自主学习时间，没有写作业时间，晚上回家作业要写到十二点左右。 5.校领导是畜生，让男生剪寸头，刘海不及眉毛，两鬓露出耳朵也要被赶回家剪头发，校服外套里面不让穿棉袄，不让穿连帽卫衣，不能露出其他衣服，只能穿校服。 By the way,西安市几乎所有初中生都没有双休吧，我们从八年级开始就没有双休了。
2025-2-4 上午04:20:53	广东	东莞市	寮步镇	东莞市第六高级中学	12	90	2	19	0	上午06:40:00	下午10:00:00	0	规定永远为了恶心学生而恶心学生，傻逼校领导。把学生关学校，结果没一个领导呆在校内。垃圾学校自己什么水平层次不知道还天天和成绩好的学校比，结果成绩不好还怪学生不努力怪学生学习时间少，一个月就放一次假，回来了还说学生没精神，她妈的放那么点假学生都在抓紧时间玩哪来的时间休息。全市所有学校里放假次数最少，把学生留学校学生完全学不进去，一点意义都没有，一天天累计怨气越来越重。食堂吃的跟屎一样，每顿饭全都是教师食堂剩菜剩饭加一大堆调味料，或者半成品加热一下卖的比天都贵
2025-2-4 上午04:24:10	重庆	重庆市	沙坪坝区	重庆市第八中学校	11	85	5	14	1	上午07:15:00	下午10:15:00	3500	
2025-2-4 上午04:32:49	山东	潍坊市	安丘市	青云学府	10	112	1	8	0	上午05:50:00	下午10:00:00	0	不能洗澡，高三五周放一次大休，每次大休半天。洗浴间仅老师可以用。食堂会出售标有禁止出售的希望工程牛奶。体罚。
2025-2-4 上午04:32:56	贵州	黔南州	惠水县	惠水民族中学	13	108	1	10	1	上午06:10:00	上午11:30:00	0	从高一开始每天六点起床晚上十一点下晚自习，一个星期星期天中午开始放到晚上六点半晚自习开始，还611，每天不足7小时睡眠学生困的要死成绩还烂的一比，一群烂比乡下学生只想到打架找事偷东西，闲的没事干，只会恶心所有人
2025-2-4 上午04:34:26	辽宁	大连市	中山区	大连市第二十四中学	10	71	4	40	0	上午07:00:00	下午07:30:00	0	
2025-2-4 上午04:39:45	香港	邦京都	邦邦市	月ノ森女子学園	11	60	0	0	0	上午07:00:00	下午07:00:00	0	
2025-2-4 上午04:51:15	浙江	温州市	龙湾区	浙江省温州市龙湾中学	12	91	2	7	1	上午06:00:00	上午10:30:00	2000	
2025-2-4 上午04:55:40	河南	郑州市	荥阳市	郑州四禾美术学校	12	102	4	14	1	上午05:30:00	下午10:10:00	0	
2025-2-4 上午05:02:10	河北	承德市	兴隆县	兴隆县第一中学	10	91	2	5	2	上午05:30:00	下午10:30:00	0	都2024了，学校还在强制女生剪短头发，男生寸头，学校一个月放假一次，平均每次48小时，学校里官僚主义严重！领导贪污腐败严重！领导以给学生定辅导资料为渠道贪污
2025-2-4 上午05:14:38	四川	眉山市	东坡区	眉山市田家炳实验中学	10	144	1	9	1	上午06:30:00	上午11:00:00	0	
2025-2-4 上午05:17:04	江苏	泰州市	海陵区	泰州市第二中学	12	90	4	12	2	上午06:40:00	下午09:30:00	0	
2025-2-4 上午05:17:50	河北	秦皇岛市	海港区	秦皇岛市第一中学	11	115	4	17	2	上午06:45:00	下午10:15:00	0	一中学习衡水把我们几乎逼疯了
2025-2-4 上午05:18:18	江苏	泰州市	海陵区	江苏省泰州中学	12	91	95	12	3	上午06:30:00	下午09:30:00	0	
2025-2-4 上午05:19:20	河北	张家口市	张北县	张北成龙高级中学	11	112	1.5	30	1	上午05:55:00	下午10:10:00	0	老师挺好 学校sb
2025-2-4 上午05:19:21	江苏	泰州市	海陵区	泰州市第三中学	12	89	4	12	3	上午06:30:00	下午09:00:00	0	
2025-2-4 上午05:25:01	山东	菏泽	单县	单县五中	11	119	3	21	2	上午05:40:00	上午11:10:00	0	食堂如屎，宿舍卫生差，早上先站40分钟再跑操再跑到食堂吃饭，纯纯神经病？
2025-2-4 上午05:25:35	内蒙古	锡林郭勒盟	锡林浩特市	锡林郭勒盟第二中学	11	99	4	12	3	上午06:30:00	下午10:30:00	0	
2025-2-4 上午05:28:49	福建	福州市	長樂區	長樂職業中專學校	10	35	8	25	0	上午07:30:00	下午09:00:00	0	早讀提前至7:30分了，晚自修聽說未來會由9:00延遲至10:00(T＿T)然後一周5天上課可能會改變至一周6天
2025-2-4 上午05:32:53	广东	茂名化	化州县	化州市第九中学	12	65	2	16	0	上午06:10:00	上午11:22:00	0	生活在这所学校非常非常的压抑，特别是高中生活，每天早上六点钟起床，然后吃完早餐就要去早读，晚自修十点多才下，最早11点多才能入睡，每周的假期只有半天，一个月的话只有两天长假可以放，非常痛苦！
2025-2-4 上午05:38:30	广东	深圳市	深汕特别合作区	深圳市第二高级中学深汕实验学校	10	76	8	21	0	上午06:40:00	上午10:00:00	0	
2025-2-4 上午05:49:43	广西	玉林市	北流市（县级市）	玉林市新世纪高级中学	12	95	1	14	8	上午06:00:00	上午11:00:00	0	
2025-2-4 上午06:00:26	山西	运城市	稷山县	稷王中学	11	62	4	22	0	上午06:00:00	下午10:20:00	0	饭菜还行，不过太油腻，有部分食品安全问题，吃出头发，虫什么的。 行政组太煞笔，高一年级主任经常吼学生，教室管理体系全是关系
2025-2-4 上午06:01:18	湖北	孝感市	孝南区	孝感市方子高中	11	101	2	13	0	上午05:40:00	下午10:00:00	2000	
2025-2-4 上午06:17:35	福建	泉州市	晋江市	晋江市荆丰中学	12	110	4	9	2	上午06:40:00	上午10:45:00	9600	跳楼赔钱就捂嘴了
2025-2-4 上午06:30:22	广东	广州市	白云区	广州市庆丰实验学校	0	75	2	20	1	上午06:30:00	下午10:30:00	0	现不在学校故未正常填写年龄。因这个学校各方面的逆天，神经多少有点衰弱，看到本网站后尝试令其上榜。  每个班级平均五十人。  宿舍：强制住宿，走读规章制度繁琐。一间宿舍十平米四张上下铺铁架木板床共睡八人，一大半宿舍内部晒不到太阳。铁网封部分楼层走廊。随机匹配活全家室友，晚上放学回宿舍到熄灯才开始洗澡上厕所，半夜讲话到一两点都有。  食堂：吃饭排队要和至少三个年级至多九个年级一起排队，每个年级人数一千人左右，食堂供餐速度不稳定。  早上起床早餐：6:20宿管就开始赶人，6:45宿舍关门，宿管/级长/政教处开始抓人准备6:50早自习。  中午午餐午休：12:00放学，教师被允许拖堂到12:10（名曰错峰就餐），吃完饭12:40算快的了，12:50基本没饭吃，宿舍关门抓迟到。13:50宿舍开门，14:10下午第一节课。  傍晚晚餐：17:30放学，教师被允许单独留堂甚至不让吃饭。食堂供餐至18:10左右，19:00返回教室上第一节晚自习（初高三要求18:30返回）。  晚上回宿舍：低年级或走读两节晚自习20:50放学，初二三节晚自习21:30放学，初三开始到高三四节晚自习22:30放学，各年级放学后半小时内熄灯，半夜幽灵宿管无规律查房。  补课：非毕业班期末考试结束必补课一个礼拜，至多三个礼拜。周日要求提前返校，初高一19:00，初高二14:00左右，初高三8:30。长短节假日假跟随活全家调休，时间至少砍对半。  题外话/碎碎念： 目睹过宿舍学生坠楼事故，家长到校门口哭。宿管什么事都爱和稀泥。 私立学校学费不低了，之前食堂做的垃圾菜被爆料然后上过新闻，那是真的恶心，后来稍微改进涨了餐费，微信公众号发的菜单是限量餐品（只够少部分小学生吃），平常能吃到的根本不是一个水平。 2020年左右多了几个“国防班”搞”国防教育”，令人反胃。 某死妈副校长兼政教处主任素质极低。  困了，就写到这吧。
2025-2-4 上午06:37:21	广西	南宁市	武鸣区	武鸣区锣圩镇锣圩高级中学	0	94	2	5	0	上午07:00:00	下午11:00:00	0	绝望的乡镇高中，毫无意义的浪费人生。经历过的人才知道我在说什么
2025-2-4 上午06:41:38	河南	驻马店市	西平县	河南省杨庄高级中学	0	114	1	7	2	上午05:40:00	下午10:00:00	19999	我不在此学校就读，所以补课收费不知道，但是我有一个朋友在此学校，每次进校门要搜身，平时是一个月放假一天，但也有过三个月放假一天的情况，有一次过了2个月还没放假，爆发了‘‘起义’’，学校以“记大过”来要挟学生，导致“起义”失败。另外大概每个学期都会有一个人左右跳楼，但是会被学校压下去。要说也挺悲哀的，这所高中十几年前是国家级重点高中，现在在县里都排不了第一了，而且没落成了这个样子
2025-2-4 上午06:42:30	河南	信阳市	商城县	河南省商城高中	12	113	1	3	2	上午06:00:00	下午10:10:00	0	
2025-2-4 上午06:47:21	安徽	铜陵市	铜官区	安徽省铜陵市第一中学	10	60	8	21	0	上午07:10:00	下午09:30:00	0	教师在校外自己带补课班几乎是普遍现象 放假等等会按照市里规矩来，但有些班主任会私自加课 体育心理信息音乐美术等经常被“霸课”，以至完全无法完成课时目标 上个学期出现过所有教师为应付上面的检查而不收作业的情况  学校素质教育环境还行 每个学期有两三次社团活动 运动会、元旦汇演等能保证高三不上课 有专门的心理咨询室，能保证几乎每天有心理老师坐班
2025-2-4 上午06:48:28	山西	大同市	平城区	大同市实验中学	12	81	4	10	0	上午06:10:00	下午10:30:00	0	
2025-2-4 上午06:51:26	安徽	合肥市	庐阳区	合肥市第六中学	12	84	4	13	0	上午07:10:00	下午10:50:00	0	
